Tarih,News_Tone_Mean,Event_Count
01-2005,0.0,0
02-2005,0.0,0
03-2005,-6.3642493269528915,15
04-2005,-3.1100874429177652,15
05-2005,-0.48441493478700637,3
06-2005,-0.79686775837546,5
07-2005,-0.15007504897515814,6
08-2005,-2.3159713004084548,25
09-2005,-3.8188890821051711,15
10-2005,-2.2566501537268393,13
11-2005,-2.4414035807014765,12
12-2005,-0.7006034079802842,5
01-2006,-3.1958182572088836,8
02-2006,-3.1474473239179082,6
03-2006,-4.3353431198190737,8
04-2006,-4.5667618099347251,4
05-2006,-2.0918179006582567,13
06-2006,-3.4494097177710974,18
07-2006,-3.9157230415120496,30
08-2006,-2.206946645509388,6
09-2006,-1.8998807149978656,7
10-2006,-1.45871270110255,6
11-2006,-1.5875847775190359,25
12-2006,-4.314437099861637,12
01-2007,0.58598651615944919,11
02-2007,-1.6493456190182088,6
03-2007,-2.7391605537227335,18
04-2007,-1.4890135577372567,3
05-2007,2.604860883407746,14
06-2007,-1.3464397476232239,7
07-2007,-6.8407960199005,1
08-2007,2.1077245605547468,3
09-2007,-1.813541229912975,12
10-2007,-1.3280417993088278,10
11-2007,-2.6498005881042923,9
12-2007,-3.0304591494444693,13
01-2008,-2.4934071471058021,6
02-2008,-0.67750346828655794,6
03-2008,-3.0241426107037488,12
04-2008,-2.9850887616530652,6
05-2008,-0.49067727703282504,4
06-2008,-0.70606972551154257,15
07-2008,-3.07950727883539,1
08-2008,-4.4049676860921458,8
09-2008,0.977653631284918,2
10-2008,-2.2819864429493126,3
11-2008,-3.43850588625584,3
12-2008,-5.74712643678161,1
01-2009,-1.9696309201084272,4
02-2009,-0.99346799462126623,8
03-2009,-0.073944783596866626,6
04-2009,0.18920812307931,4
05-2009,-2.6527804311757603,5
06-2009,-3.35766423357664,2
07-2009,-1.19759267404301,5
08-2009,-1.3396644057703027,4
09-2009,-2.4952690413170231,10
10-2009,-2.5508546974284703,6
11-2009,-1.0429589694440851,4
12-2009,-4.1418562916849826,7
01-2010,1.6883481187979967,3
02-2010,0.0,0
03-2010,-3.87305002689618,1
04-2010,0.844530870543185,4
05-2010,-0.531567454054716,5
06-2010,1.5545161299618144,8
07-2010,0.0,0
08-2010,-2.1308174982478665,3
09-2010,-3.8286483035620194,15
10-2010,-3.6826044336182928,8
11-2010,-8.8964481053542173,3
12-2010,4.70588235294117,1
01-2011,-3.6250643804687823,9
02-2011,-1.5953648987233779,5
03-2011,-0.82663856204919017,4
04-2011,0.0,0
05-2011,-2.6835803627602122,9
06-2011,0.373927504097174,5
07-2011,-2.19512195121952,2
08-2011,-3.65659777424483,1
09-2011,0.0,0
10-2011,-4.4724343831887419,7
11-2011,-2.1881254627700168,3
12-2011,-0.77321441164927507,4
01-2012,-0.29268292682926,1
02-2012,-5.20237030411449,1
03-2012,-2.3916904726633796,37
04-2012,-1.4236727570957928,7
05-2012,8.67069128787878,2
06-2012,0.78648020192754786,5
07-2012,-3.2468891265492905,5
08-2012,2.53078867955305,5
09-2012,-1.23458129076107,2
10-2012,5.48048048048048,2
11-2012,-1.65505226480836,4
12-2012,-3.7532973526482434,3
01-2013,0.0,0
02-2013,-4.31104233446889,19
03-2013,-4.3245932948462871,4
04-2013,-2.418299563059267,24
05-2013,-2.70161834326242,20
06-2013,-0.28215592008097151,17
07-2013,-1.3762755548007801,6
08-2013,0.0,0
09-2013,2.38095238095238,3
10-2013,-2.5408179309968273,32
11-2013,-1.9768055184510203,6
12-2013,-4.80769230769231,1
01-2014,-0.92708134334324321,3
02-2014,-3.4211245828483126,592
03-2014,-2.426688656169687,1226
04-2014,-3.3800906218382973,1432
05-2014,-2.8242357422581819,1112
06-2014,-2.0268353327985609,936
07-2014,-2.764282014385679,1252
08-2014,-2.381915130752287,986
09-2014,-2.7232594384251985,1151
10-2014,-1.794628575739122,1039
11-2014,-1.9885614584091287,1608
12-2014,-1.9761262966216515,1599
01-2015,-4.2658012170543742,2689
02-2015,-2.7844954967829749,50180
03-2015,-2.0959930709837398,127712
04-2015,-2.8107340447594842,148747
05-2015,-1.8293212056781336,113252
06-2015,-1.9705445678731985,120839
07-2015,-3.1213051657697317,179559
08-2015,-3.1810115206985925,170415
09-2015,-3.4617060702981957,170513
10-2015,-3.2362292647470046,211802
11-2015,-2.9342685932418107,263732
12-2015,-2.8493430274238292,270660
01-2016,-3.4686731887558682,195297
02-2016,-3.3320635410436825,266979
03-2016,-3.6256767150101159,283777
04-2016,-3.1282542879212167,235779
05-2016,-2.5768320999510825,207412
06-2016,-3.304118552073763,232781
07-2016,-3.2811686465964138,379728
08-2016,-3.1831312841532893,315303
09-2016,-2.6197485745752296,188174
10-2016,-2.6678518342566027,212155
11-2016,-2.8036752805982776,210023
12-2016,-3.075783968571653,242809
01-2017,-3.2026136505144978,213512
02-2017,-2.3131218132451479,168590
03-2017,-2.4204274005123421,262845
04-2017,-2.3071048546602482,189301
05-2017,-2.1968240085200672,174318
06-2017,-2.2623799593212452,139562
07-2017,-2.6860496686899396,159039
08-2017,-2.4406728729815423,113000
09-2017,-2.380386308733963,146419
10-2017,-2.0679436952918131,159833
11-2017,-2.0067960438476833,135000
12-2017,-2.0910547055893334,150916
01-2018,-2.5437204912228597,178814
02-2018,-2.650368629868364,168733
03-2018,-2.3549459317219168,165998
04-2018,-1.9747072759508608,145373
05-2018,-1.8403104012173148,120826
06-2018,-1.3606379831036608,111240
07-2018,-2.3523167478205189,110181
08-2018,-2.6281517551575937,116472
09-2018,-2.4286663993148885,116449
10-2018,-2.5496895122504108,199584
11-2018,-2.1784433025241756,126865
12-2018,-2.1541364376640826,116451
01-2019,-2.2031472612594052,108695
02-2019,-1.8486696954793,91885
03-2019,-2.1045774573559051,99585
04-2019,-1.6566052978676864,90545
05-2019,-2.042898209980569,87840
06-2019,-2.0354182739222568,83436
07-2019,-2.2765405515445156,103897
08-2019,-1.8162172306738005,82912
09-2019,-1.8925272221567366,89340
10-2019,-3.1376317176681883,265810
11-2019,-2.2805990584040745,115855
12-2019,-2.0496499145245575,121253
01-2020,-2.1500103478193857,95557
02-2020,-3.337490841193858,135319
03-2020,-3.3793474316395047,127679
04-2020,-2.2308221518560507,65692
05-2020,-2.0914086985824252,62981
06-2020,-2.3288324932785827,83252
07-2020,-2.0908461879497793,104475
08-2020,-2.058987628675657,88325
09-2020,-2.4902430655510228,95070
10-2020,-2.833762389710079,82166
11-2020,-2.0625361948169414,55121
12-2020,-2.1359792912856608,77739
01-2021,-1.7140315408292177,62478
02-2021,-2.2095225155163316,63611
03-2021,-2.000109520202066,74099
04-2021,-2.0930216585382921,79231
05-2021,-2.1542244629138123,59664
06-2021,-1.4113468597411187,63748
07-2021,-1.8818347521192502,55830
08-2021,-2.1595591126160394,55827
09-2021,-1.3076447905089148,58547
10-2021,-1.2963479886926954,68224
11-2021,-1.4082795880095376,63165
12-2021,-1.2402835573959134,54288
01-2022,-1.4684169452014586,48859
02-2022,-1.5006206428126312,57106
